Knivsta, 32.62
Kramfor, 34.43
Kristianstad, 32.64
Kristinehamn, 34.25
Krokom, 33.87
Kumla, 33.84
Kungsbacka, 32.73
Kungsör, 32.91
Kungälv, 32.92
Kävlinge, 29.69
Köping, 33.04
Laholm, 32.80
Landskrona, 31.42
Laxå, 35.00
Lekeberg, 34.73
Leksand, 33.80
Lerum, 32.13
Lessebo, 33.81
Lidingö, 29.72
Lidköping, 32.74
Lilla-Edet, 33.85
Lindesberg, 34.60
Linköping, 31.75
Ljungby, 33.07
Ljusdal, 33.87
Ljusnarsberg, 33.80
Lomma, 30.82
Ludvika, 34.05
Luleå, 33.84
Lund, 32.42
Lycksele, 34.40
Lysekil, 33.94
Malmö, 32.42
Malung-Sälen, 34.55
Malå, 34.70
Mariestad, 32.74
Markaryd, 33.31
Mark, 32.99
Mellerud, 34.08
Mjölby, 33.45
Mora, 34.32
Motala, 33.25
Mullsjö, 34.10
Munkedal, 34.86
Munkfor, 34.30
Mölndal, 31.99
Mönsterås, 34.07
Mörbylånga, 34.07
Nacka, 30.26
Nora, 34.55
Norberg, 33.54
Nordanstig, 34.02
Nordmaling, 34.60
Norrköping, 33.30
Norrtälje, 32.10
Norsjö, 34.70
Nybro, 34.19
Nykvarn, 32.35
Nyköping, 32.25
Nynäshamn, 32.23
Nässjö, 34.30
Ockelbo, 34.27
Olofström, 33.75
Orsa, 34.30
Orust, 33.79
Osby, 33.99
Oskarshamn, 34.21
Ovanåker, 33.37
Oxelösund, 33.05
Pajala, 34.74
Partille, 31.39
Perstorp, 31.99
Piteå, 33.59
Ragunda, 34.92
Robertsfors, 34.50
Ronneby, 33.68
Rättvik, 33.80
Sala, 33.19
Salem, 32.05
Sandviken, 33.12
Sigtuna, 32.08
Simrishamn, 31.69
Sjöbo, 32.10
Skara, 33.38
Skellefteå, 33.95
Skinnskatteberg, 33.34
Skurup, 31.60
Skövde, 33.09
Smedjebacken, 34.44
Sollefteå, 34.68
Sollentuna, 30.50
Solna, 29.75
Sorsele, 34.95
Sotenäs, 33.47
Staffanstorp, 30.27
Stenungsund, 33.12
Stockholm, 30.60
Storfor, 34.98
Storuman, 34.45
Strängnäs, 32.50
Strömstad, 33.39
Strömsund, 34.92
Sundbyberg, 31.63
Sundsvalls, 33.88
Sunne, 33.90
Surahammar, 33.19
Svalöv, 31.92
Svedala, 31.42
Svenljunga, 33.53
Säffle, 33.80
Säters, 34.30
Sävsjö, 33.68
Söderhamn, 33.17
Söderköping, 33.53
Södertälje, 32.53
Sölvesborg, 33.86
Tanums, 33.04
Tibro, 33.19
Tidaholm, 33.55
Tierp, 33.00
Timrå, 34.48
Tingsryd, 34.00
Tjörn, 33.19
Tomelilla, 31.79
Torsby, 34.30
Torsås, 33.79
Tranemo, 32.98
Tranå, 33.77
Trelleborg, 31.58
Trollhättan, 33.84
Trosa, 32.13
Tyresö, 31.88
Täby, 29.93
Töreboda, 33.20
Uddevalla, 33.64
Ulricehamn, 32.53
Umeå, 34.15
Upplands Väsby, 31.80
Upplands-Bro, 31.78
Uppsala, 32.85
Uppvidinge, 33.80
Vadstena, 34.35
Vaggeryd, 33.25
Valdemarsvik, 34.03
Vallentuna, 31.28
Vansbro, 34.28
Vara, 33.25
Varberg, 31.73
Vaxholm, 31.68
Vellinge, 29.68
Vetlanda, 33.77
Vilhelmina, 35.00
Vimmerby, 34.22
Vindeln, 34.70
Vingåker, 33.50
Vårgårda, 33.09
Vänersborg, 33.69
Vännäs, 34.70
Värmdö, 31.36
Värnamo, 33.28
Västervik, 33.02
Västerås, 31.24
Växjö, 32.19
Ydre, 34.10
Ystad, 31.29
Åmål, 33.94
Ånge, 34.62
Åre, 33.92
Årjäng, 34.25
Åsele, 34.95
Åstorps, 31.47
Åtvidaberg, 33.94
Älmhult, 33.86
Älvdalen, 34.77
Älvkarleby, 34.40
Älvsbyn, 33.79
Ängelholm, 31.47
Öckerö, 33.04
Ödeshög, 33.95
Örebro, 33.65
Örkelljunga, 30.24
Örnsköldsvik, 34.00
Östersund, 33.72
Österåker, 28.98
Östhammar, 33.35
Östra Göinge, 32.17
Överkalix, 34.14
Övertorneå, 33.84
